date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_elo,away_elo
1872-11-30,Scotland,England,0.0,0.0,Friendly,Glasgow,Scotland,False,1500.0,1500.0
1873-03-08,England,Scotland,4.0,2.0,Friendly,London,England,False,1501.7099735734362,1498.2900264265638
1874-03-07,Scotland,England,2.0,1.0,Friendly,Glasgow,Scotland,False,1485.9980749781555,1514.0019250218445
1875-03-06,England,Scotland,2.0,2.0,Friendly,London,England,False,1504.9202535989186,1495.0797464010814
1876-03-04,Scotland,England,3.0,0.0,Friendly,Glasgow,Scotland,False,1497.0632727756285,1502.9367272243715
1876-03-25,Scotland,Wales,4.0,0.0,Friendly,Glasgow,Scotland,False,1510.590624771378,1500.0
1877-03-03,England,Scotland,1.0,3.0,Friendly,London,England,False,1489.409375228622,1524.9829601073786
1877-03-05,Wales,Scotland,0.0,2.0,Friendly,Wrexham,Wales,False,1485.6076646639995,1541.035799142274
1878-03-02,Scotland,England,7.0,2.0,Friendly,Glasgow,Scotland,False,1556.2331710515455,1473.3565361937265
1878-03-23,Scotland,Wales,9.0,0.0,Friendly,Glasgow,Scotland,False,1568.442805710889,1470.410292754728
1879-01-18,England,Wales,2.0,1.0,Friendly,London,England,False,1461.146901534383,1454.3349586456848
1879-04-05,England,Scotland,5.0,4.0,Friendly,London,England,False,1469.2472575972783,1584.5181398199322
1879-04-07,Wales,Scotland,0.0,3.0,Friendly,Wrexham,Wales,False,1446.2346025827894,1572.9406012510788
1880-03-13,Scotland,England,5.0,4.0,Friendly,Glasgow,Scotland,False,1585.9058740729486,1480.8247961661318
1880-03-15,Wales,England,2.0,3.0,Friendly,Wrexham,Wales,False,1433.2693297609196,1475.2482382198928
1880-03-27,Scotland,Wales,5.0,1.0,Friendly,Glasgow,Scotland,False,1591.4824320191876,1422.751105708149
1881-02-26,England,Wales,0.0,1.0,Friendly,Blackburn,England,False,1485.7664622726634,1415.141763175432
1881-03-12,England,Scotland,1.0,6.0,Friendly,London,England,False,1472.1744533987703,1599.0917745519046
1881-03-14,Wales,Scotland,1.0,5.0,Friendly,Wrexham,Wales,False,1428.7337720493251,1615.2866398569456
1882-02-18,Northern Ireland,England,0.0,13.0,Friendly,Belfast,Ireland,False,1500.0,1455.9795880937293
1882-02-25,Wales,Northern Ireland,7.0,1.0,Friendly,Wrexham,Wales,False,1417.0148840664845,1453.5326873324636
1882-03-11,Scotland,England,5.0,1.0,Friendly,Glasgow,Scotland,False,1627.0055278397863,1502.4469007612656
1882-03-13,Wales,England,5.0,3.0,Friendly,Wrexham,Wales,False,1437.5302257382723,1493.2002953124518
1882-03-25,Scotland,Wales,5.0,0.0,Friendly,Glasgow,Scotland,False,1636.2521332886001,1452.343297292287
1883-02-03,England,Wales,5.0,0.0,Friendly,London,England,False,1478.3872237584371,1444.4563417823729
1883-02-24,England,Northern Ireland,7.0,0.0,Friendly,Liverpool,England,False,1493.1081246247434,1433.0173456606758
1883-03-10,England,Scotland,2.0,3.0,Friendly,Sheffield,England,False,1509.1278542934413,1644.1390887985142
1883-03-12,Wales,Scotland,0.0,3.0,Friendly,Wrexham,Wales,False,1429.7354409160666,1652.0130235817783
1883-03-17,Northern Ireland,Wales,1.0,1.0,Friendly,Belfast,Ireland,False,1416.997615991978,1420.7087346756346
1884-01-26,Northern Ireland,Scotland,0.0,5.0,British Home Championship,Belfast,Ireland,False,1415.3915195129694,1661.0397298222103
1884-02-09,Wales,Northern Ireland,6.0,0.0,British Home Championship,Wrexham,Wales,False,1422.3148311546431,1394.9391384860587
1884-02-23,Northern Ireland,England,1.0,8.0,British Home Championship,Belfast,Ireland,False,1361.7770594695642,1501.2539195101772
1884-03-15,Scotland,England,1.0,0.0,British Home Championship,Glasgow,Scotland,False,1681.492110849121,1538.4613821165233
1884-03-17,Wales,England,0.0,4.0,British Home Championship,Wrexham,Wales,False,1455.4769101711377,1528.978061176368
1884-03-29,Scotland,Wales,4.0,1.0,British Home Championship,Glasgow,Scotland,False,1690.9754317892762,1420.875146144135
1885-02-28,England,Northern Ireland,4.0,0.0,British Home Championship,Manchester,England,False,1563.5798252033708,1324.569596863218
1885-03-14,England,Wales,1.0,1.0,British Home Championship,Blackburn,England,False,1574.5030426690726,1412.549724753659
1885-03-14,Scotland,Northern Ireland,8.0,2.0,British Home Championship,Glasgow,Scotland,False,1699.3008531797523,1313.6463793975163
1885-03-21,England,Scotland,1.0,1.0,British Home Championship,London,England,False,1563.220954005892,1705.5839763758088
1885-03-23,Wales,Scotland,1.0,8.0,British Home Championship,Wrexham,Wales,False,1423.8318134168394,1700.929641891899
1885-04-11,Northern Ireland,Wales,2.0,8.0,British Home Championship,Belfast,Ireland,False,1307.3632562014598,1402.4478728579747
1885-11-28,United States,Canada,0.0,1.0,Friendly,Newark,United States,False,1500.0,1500.0
1886-02-27,Wales,Northern Ireland,5.0,0.0,British Home Championship,Wrexham,Wales,False,1442.0197220099892,1267.7914070494453
1886-03-13,Northern Ireland,England,1.0,6.0,British Home Championship,Belfast,Ireland,False,1251.2998796534941,1567.8752884898017
1886-03-20,Northern Ireland,Scotland,2.0,7.0,British Home Championship,Belfast,Ireland,False,1236.4289991242804,1722.3135824507638
1886-03-27,Scotland,England,1.0,1.0,British Home Championship,Glasgow,Scotland,False,1728.6593781200693,1582.7461690190155
1886-03-29,Wales,England,1.0,3.0,British Home Championship,Wrexham,Wales,False,1458.5112494059404,1593.3823732434084
1886-04-10,Scotland,Wales,4.0,1.0,British Home Championship,Glasgow,Scotland,False,1718.0231738956763,1434.877892792671
1886-11-25,United States,Canada,3.0,2.0,Friendly,Newark,United States,False,1488.2900264265638,1511.7099735734362
1887-02-05,England,Northern Ireland,7.0,0.0,British Home Championship,Sheffield,England,False,1617.0157298566778,1230.0832034549749
1887-02-19,Scotland,Northern Ireland,4.0,1.0,British Home Championship,Glasgow,Scotland,False,1725.8196813928478,1223.2755669803432
1887-02-26,England,Wales,4.0,0.0,British Home Championship,London,England,False,1623.8233663313094,1427.0813852954996
1887-03-12,Northern Ireland,Wales,4.0,1.0,British Home Championship,Belfast,Ireland,False,1220.8595098211563,1413.7080374191814
1887-03-19,England,Scotland,2.0,3.0,British Home Championship,Blackburn,England,False,1637.1967142076276,1728.2357385520347
1887-03-21,Wales,Scotland,0.0,2.0,British Home Championship,Wrexham,Wales,False,1370.0356257245187,1746.4537270187247
1888-02-04,England,Wales,5.0,1.0,British Home Championship,Crewe,England,False,1618.9787257409375,1361.6800200652929
1888-03-03,Wales,Northern Ireland,11.0,0.0,British Home Championship,Wrexham,Wales,False,1351.6969622778604,1264.531921515819
1888-03-10,Scotland,Wales,5.0,1.0,British Home Championship,Edinburgh,Scotland,False,1754.8093326779506,1390.1009349290773
1888-03-17,Scotland,England,0.0,5.0,British Home Championship,Glasgow,Scotland,False,1760.5562517864346,1628.96178352837
1888-03-24,Northern Ireland,Scotland,2.0,10.0,British Home Championship,Belfast,Ireland,False,1226.127948864602,1700.4919090451447
1888-04-07,Northern Ireland,England,1.0,5.0,British Home Championship,Belfast,Ireland,False,1217.3604579158164,1689.02612626966
1888-09-19,Scotland,Canada,4.0,0.0,Friendly,Glasgow,Scotland,False,1709.2593999939304,1502.758958949937
1889-02-23,England,Wales,4.0,1.0,British Home Championship,Stoke-on-Trent,England,False,1695.1828188308946,1384.3540158205933
1889-03-02,England,Northern Ireland,6.0,1.0,British Home Championship,Liverpool,England,False,1701.9523040570934,1211.2037653545817
1889-03-09,Scotland,Northern Ireland,7.0,0.0,British Home Championship,Glasgow,Scotland,False,1715.645606295448,1207.980056714952
1889-04-13,England,Scotland,2.0,3.0,British Home Championship,London,England,False,1705.176012696723,1719.1682719787646
1889-04-15,Wales,Scotland,0.0,0.0,British Home Championship,Wrexham,Wales,False,1377.5845305943944,1741.8013179712239
1889-04-27,Northern Ireland,Wales,1.0,3.0,British Home Championship,Belfast,Ireland,False,1204.4573910316356,1391.6687578301196
1890-02-08,Wales,Northern Ireland,5.0,2.0,British Home Championship,Shrewsbury,England,True,1411.1503350627663,1184.9758137989888
1890-03-15,Northern Ireland,England,1.0,9.0,British Home Championship,Belfast,Ireland,False,1171.290408208647,1682.5429667042638
1890-03-15,Wales,England,1.0,3.0,British Home Championship,Wrexham,Wales,False,1424.8357406531081,1689.7493185504131
1890-03-22,Scotland,Wales,5.0,0.0,British Home Championship,Paisley,Scotland,False,1727.7170907354987,1410.7280490175365
1890-03-29,Northern Ireland,Scotland,1.0,4.0,British Home Championship,Belfast,Ireland,False,1164.0840563624977,1735.9143457000887
1890-04-05,Scotland,England,1.0,1.0,British Home Championship,Glasgow,Scotland,False,1739.108595859267,1703.8570101859848
1891-02-07,Northern Ireland,Wales,7.0,2.0,British Home Championship,Belfast,Ireland,False,1160.8898062033193,1402.5307940529465
1891-03-07,England,Wales,4.0,1.0,British Home Championship,Sunderland,England,False,1709.2067670123847,1343.3363199173345
1891-03-07,England,Northern Ireland,6.0,1.0,British Home Championship,Wolverhampton,England,False,1714.2837839016972,1220.0842803389312
1891-03-21,Wales,Scotland,3.0,4.0,British Home Championship,Wrexham,Wales,False,1338.259303028022,1733.7588390328672
1891-03-28,Scotland,Northern Ireland,2.0,1.0,British Home Championship,Glasgow,Scotland,False,1738.8231511011209,1216.9214730542367
1891-04-04,England,Scotland,2.0,1.0,British Home Championship,Blackburn,England,False,1717.4465911863917,1740.1793568048772
1892-02-27,Wales,Northern Ireland,1.0,1.0,British Home Championship,Bangor,Wales,False,1333.1949909597683,1215.5652673504803
1892-03-05,Northern Ireland,England,0.0,2.0,British Home Championship,Belfast,Ireland,False,1224.9837856334768,1735.3095065283042
1892-03-05,Wales,England,0.0,2.0,British Home Championship,Wrexham,Wales,False,1323.7764726767718,1739.4877092979723
1892-03-19,Northern Ireland,Scotland,2.0,3.0,British Home Championship,Belfast,Ireland,False,1220.8055828638087,1722.3164414629648
1892-03-26,Scotland,Wales,6.0,1.0,British Home Championship,Edinburgh,Scotland,False,1725.2363151126387,1316.9189996210766
1892-04-02,Scotland,England,1.0,4.0,British Home Championship,Glasgow,Scotland,False,1730.2938041644472,1746.3451823536675
1893-02-25,England,Northern Ireland,6.0,1.0,British Home Championship,Birmingham,England,False,1782.3715478499719,1217.8857092141347
1893-03-13,England,Wales,6.0,0.0,British Home Championship,Stoke-on-Trent,England,False,1784.5100426499453,1311.8615105692681
1893-03-18,Wales,Scotland,0.0,8.0,British Home Championship,Wrexham,Wales,False,1307.9433616881952,1694.2674386681429
