team,fifa_rank,fifa_points,ranking_date
Argentina,1,1877.27,2026-06-11
Spain,2,1874.71,2026-06-11
France,3,1870.70,2026-06-11
England,4,1828.02,2026-06-11
Portugal,5,1767.85,2026-06-11
Brazil,6,1765.86,2026-06-11
Morocco,7,1755.10,2026-06-11
Netherlands,8,1753.57,2026-06-11
Belgium,9,1742.24,2026-06-11
Germany,10,1735.77,2026-06-11
Croatia,11,1714.87,2026-06-11
Colombia,13,1700.98,2026-06-11
Mexico,14,1698.35,2026-06-11
Senegal,15,1684.07,2026-06-11
Uruguay,16,1673.07,2026-06-11
United States,17,1671.23,2026-06-11
Japan,18,1661.58,2026-06-11
Switzerland,19,1650.06,2026-06-11
Iran,20,1619.58,2026-06-11
South Korea,22,1612.55,2026-06-11
Turkey,23,1605.73,2026-06-11
Ecuador,24,1598.52,2026-06-11
Austria,25,1597.40,2026-06-11
Australia,27,1579.34,2026-06-11
Algeria,28,1571.03,2026-06-11
Egypt,29,1562.37,2026-06-11
Canada,30,1559.48,2026-06-11
Norway,31,1557.44,2026-06-11
Ivory Coast,33,1540.87,2026-06-11
Panama,34,1539.16,2026-06-11
Sweden,38,1509.79,2026-06-11
Paraguay,40,1505.35,2026-06-11
Scotland,41,1503.34,2026-06-11
Czech Republic,43,1484.82,2026-06-11
Tunisia,45,1476.41,2026-06-11
DR Congo,46,1474.43,2026-06-11
Uzbekistan,50,1458.73,2026-06-11
Qatar,56,1454.00,2026-06-11
Iraq,57,1447.00,2026-06-11
South Africa,60,1429.00,2026-06-11
Saudi Arabia,61,1421.00,2026-06-11
Jordan,63,1391.00,2026-06-11
Bosnia and Herzegovina,64,1385.00,2026-06-11
Cape Verde,67,1366.00,2026-06-11
Ghana,73,1346.00,2026-06-11
Curaçao,82,1294.00,2026-06-11
Haiti,83,1291.00,2026-06-11
New Zealand,85,1281.00,2026-06-11
